Code,Name,Value
en,"JAKARTA TIMUR","EAST JAKARTA"
en,"JAKARTA PUSAT","JAKARTA PUSAT"
en,"JAKARTA BARAT","WEST JAKARTA"
en,"JAKARTA UTARA","NORTH JAKARTA"
en,SUMEDANG,SUMEDANG
en,"BANDUNG BARAT","WEST BANDUNG"
en,CIREBON,CIREBON
en,BEKASI,BEKASI
en,TASIKMALAYA,TASIKMALAYA
en,BLORA,BLORA
en,"KULON PROGO","KULON PROGO"
en,"GUNUNG KIDUL","GUNUNG KIDUL"
en,YOGYAKARTA,YOGYAKARTA
en,SUMENEP,SUMENEP
en,PROBOLINGGO,PROBOLINGGO
en,"TANGERANG SELATAN","SOUTH TANGERANG"
en,DENPASAR,DENPASAR
en,"LOMBOK TENGAH","CENTRAL LOMBOK"
en,"SUMBAWA BARAT","WEST SUMBAWA"
en,"LOMBOK UTARA","NORTH LOMBOK"
en,BIMA,BIMA
en,"SUMBA BARAT","WEST SUMBA"
en,"SUMBA TIMUR","EAST SUMBA"
en,"TIMOR TENGAH SELATAN","SOUTH TIMOR TENGAH"
en,"TIMOR TENGAH UTARA","NORTH TIMOR TENGAH"
en,ALOR,ALOR
en,LEMBATA,LEMBATA
en,"FLORES TIMUR","EAST FLORES"
en,NGADA,NGADA
en,"ROTE NDAO","ROTE NDAO"
en,"MANGGARAI BARAT","WEST MANGGARAI"
en,"SUMBA TENGAH","CENTRAL SUMBA"
en,"SUMBA BARAT DAYA","SOUTHWEST SUMBA"
en,NAGEKEO,NAGEKEO
en,"MANGGARAI TIMUR","EAST MANGGARAI"
en,"SABU RAIJUA","SABU RAIJUA"
en,MEMPAWAH,MEMPAWAH
en,SANGGAU,SANGGAU
en,SEKADAU,SEKADAU
en,MELAWI,MELAWI
en,PONTIANAK,PONTIANAK
en,"KOTAWARINGIN BARAT","WEST KOTAWARINGIN"
en,"KOTAWARINGIN TIMUR","EAST KOTAWARINGIN"
en,"BARITO SELATAN","SOUTH BARITO"
en,"BARITO UTARA","NORTH BARITO"
en,SERUYAN,SERUYAN
en,KATINGAN,KATINGAN
en,"BARITO TIMUR","EAST BARITO"
en,"PALANGKA RAYA","PALANGKA RAYA"
en,"TANAH LAUT","TANAH LAUT"
en,"BARITO KUALA","BARITO KUALA"
en,TAPIN,TAPIN
en,"HULU SUNGAI SELATAN","SOUTH HULU SUNGAI"
en,"HULU SUNGAI TENGAH","CENTRAL HULU SUNGAI"
en,"HULU SUNGAI UTARA","NORTH HULU SUNGAI"
en,TABALONG,TABALONG
en,"TANAH BUMBU","TANAH BUMBU"
en,BALANGAN,BALANGAN
en,PASER,PASER
en,"KUTAI BARAT","WEST KUTAI"
en,"KUTAI KARTANEGARA","KUTAI KARTANEGARA"
en,"KUTAI TIMUR","EAST KUTAI"
en,BERAU,BERAU
en,"PENAJAM PASER UTARA","NORTH PENAJAM PASER"
en,"MAHAKAM HULU","MAHAKAM HULU"
en,BALIKPAPAN,BALIKPAPAN
en,SAMARINDA,SAMARINDA
en,BONTANG,BONTANG
en,"TANA TIDUNG","TANA TIDUNG"
en,TARAKAN,TARAKAN
en,"BOLAANG MONGONDOW","BOLAANG MONGONDOW"
en,MINAHASA,MINAHASA
en,"KEPULAUAN SANGIHE","SANGIHE ISLANDS"
en,"KEPULAUAN TALAUD","TALAUD ISLANDS"
en,"MINAHASA SELATAN","SOUTH MINAHASA"
en,"MINAHASA UTARA","NORTH MINAHASA"
en,"BOLAANG MONGONDOW UTARA","NORTH BOLAANG MONGONDOW"
en,"SIAU TAGULANDANG BIARO","SIAU TAGULANDANG BIARO"
en,"MINAHASA TENGGARA","SOUTHEAST MINAHASA"
en,"BOLAANG MONGONDOW SELATAN","SOUTH BOLAANG MONGONDOW"
en,"BOLAANG MONGONDOW TIMUR","EAST BOLAANG MONGONDOW"
en,MANADO,MANADO
en,TOMOHON,TOMOHON
en,"BANGGAI KEPULAUAN","BANGGAI ISLANDS"
en,MOROWALI,MOROWALI
en,POSO,POSO
en,"PARIGI MOUTONG","PARIGI MOUTONG"
en,"TOJO UNA-UNA","TOJO UNA-UNA"
en,"BANGGAI LAUT","BANGGAI LAUT"
en,"MOROWALI UTARA","NORTH MOROWALI"
en,"KEPULAUAN SELAYAR","SELAYAR ISLANDS"
en,BULUKUMBA,BULUKUMBA
en,JENEPONTO,JENEPONTO
en,TAKALAR,TAKALAR
en,GOWA,GOWA
en,SINJAI,SINJAI
en,MAROS,MAROS
en,"PANGKAJENE DAN KEPULAUAN","PANGKAJENE AND ISLANDS"
